Fenes;Elec;Aete;Tubu;Crisi;Lich;Chli;Walk;Plan;Elph;Serp;Syll;Plum;Sert;Camp;Hydro;Litho;Calli;Rhodo;Cera;Spyr;Clado;Dict;Spha;Chor;Ecto
0,265679443;0;0,036585366;0;0,018292683;0;0;0;0,144947735;0,015679443;0,075609756;0;0;0;0,077351916;32,88327526;0;0,002038328;0,024041812;0,052787456;0;0,039198606;0;2,383275261;0;0
0,255214724;0,115030675;0,124233129;0;0,005828221;0;0;0;0,125306748;0,023006135;0,18297546;0;0;0;0,008895706;14,49386503;0;0,000920245;0,025184049;0,031441718;0;0,018404908;0;1,290644172;0;0
0,005530973;1,267699115;0;0;0;0;0;0;0,003318584;0;0,000685841;0;0;0;0,006084071;2,342920354;0;0;0,005420354;0,003982301;0;0;0;0,001106195;0;0
0,462450593;2,061264822;0,001146245;0,002470356;0;0;0;0;0,015019763;0;0,011561265;0;0;0;0;2,379110672;0;0,00444664;0,022391304;0,003952569;0,001778656;0;0;0;0,09486166;0
0;0,262605042;0,06197479;0;0,003319328;0;0;0,090336134;0,022058824;0;0,318592437;0;0;0;0;14,86869748;0;0,002731092;0,012920168;0,018802521;0;0;0;0,001260504;0,075630252;0
0,019035533;1,47715736;0;0;0,000761421;0;0;0,134517766;0,330964467;0,000685279;0,267766497;0;0;0;0,198604061;7,157360406;0;0,001522843;0,088248731;0,010659898;0,001522843;0;0;0;0,020558376;0
0;2,532729805;0,011768802;0;0,010668524;0;0;0,011532033;0,399721448;0;0,220334262;0;0;0;0;3,098885794;0;0,01810585;0,148690808;0,022284123;0;0;0;0;0,034261838;0
0,223434125;3,917926566;0,025917927;0,025917927;0,003164147;0;0;0,003941685;0,058207343;0;0,142915767;0;0,001295896;0;0;6,830453564;0;0,000647948;0,064794816;0,01112311;0,009719222;0;0;0,001943844;0;0
0,001981132;3,04245283;0,014150943;0;0,015353774;0;0;0;0,246698113;0;0,224292453;0;0;0;0,652122642;2,753537736;0;0,001768868;0,061320755;0,027712264;0,001415094;0;0;0;0;0
0;11,45164609;0,020576132;0;0,001131687;0;0;0;0,501831276;0;0,015946502;0;0;0;0,011934156;11,29115226;0;0,000514403;0,205967078;0,020576132;0,006893004;0;0;0;0;0
0;0,001595745;0,003324468;0;0,000664894;0;0;0;0,294361702;0;0,081781915;0;0;0;0,004787234;12,20744681;0;0;0,234468085;0,037234043;0;0;0;0;0,073138298;0
0,020081967;7,729508197;0;0;0,000512295;0;0;0;0,151639344;0;0,015368852;0;0;0,010040984;0,006147541;7,674180328;0;0;0,042622951;0,010860656;0,000614754;0;0;0;0;0
0,143298368;0,06993007;0;0,006993007;0,004032634;0;0;0;0,410198135;0;0,017715618;0;0;0,001375291;0,084731935;21,66083916;0,000699301;0;0,541480186;0,03030303;0;0;0;0;0,027972028;0
0;1,482300885;0;0;0;0;0;0;0,07170354;0,000553097;0;0;0;0;0;1,769911504;0;0,000553097;0,007345133;0;0;0;0;0;0;0
0,19391635;5,611787072;0;0;0;0;0;0;0,048821293;0;0,00095057;0;0;0;0;4,006653992;0;0;0,018726236;0,007034221;0,057794677;0;0;0;0;0
0,210619469;9,277654867;0,001504425;0;0,002610619;0;0;0;0,035730088;0;0,000553097;0;0;0;0;1,338495575;0;0,000553097;0,018141593;0,002433628;0,000663717;0;0;0;0;0
0,020184729;10,05104269;0;0;0;0;0;0;0,010999589;0;0;0;0;0;0,000492611;2,040229885;0;0;0,007635468;0,001970443;0;0;0;0;0;0
0,028289474;4,261842105;0;0;0;0;0;0;0,039583333;0;0,189539474;0;0;0,175438596;0;8,214144737;0;0,000657895;0,137061404;0,026754386;0;0;0;0;0;0
0;4,326650943;0;0;0,005896226;0;0;0;0,006650943;0;0,00240566;0;0;0;0;4,793632075;0;0,000707547;0,043278302;0,015566038;0;0;0;0;0;0
0,206860158;3,184036939;0,001978892;0;0,002638522;0;0;0;0,043245383;0;0,002902375;0;0;0;0,178166227;13,19920844;0;0,002638522;0,090501319;0,039973615;0;0;0;0;0,019788918;0
0;8,647799228;0,011100386;0,000965251;0;0;0;0;0,068378378;0;0,007239382;0;0;0,061776062;0,334942085;2,902509653;0;0;0,006467181;0,005501931;0;0;0;0;0;0
0;0,474569288;0,001348315;0;0,00093633;0;0;0;0,291423221;0;0,058520599;0;0;0;0,207865169;1,720224719;0;0;0,06329588;0;0;0;0;0;0;0
0,00402439;3,381801126;0;0;0,002908068;0;0;0;0,006275797;0;0;0;0;0;0,346622889;4,424953096;0;0,014071295;0,048592871;0,01163227;0;0;0;0;0;0
0;0;0;0,010638298;0;0,89787234;0;0,14893617;0,39787234;0,143617021;0,004255319;0;0;0;0;16,92553191;0;0;0,50787234;0,316382979;0,044680851;0;0;0;0;0
0,276497696;22,95299539;0,029423963;0,001382488;0;0,17281106;0;0,003456221;0,264976959;0,177419355;0,239101382;0;0;0,008870968;0,017741935;21,1718894;0,002764977;0;0,746198157;0,089861751;0;0;0,002764977;0;0,001382488;0
0;3,228476821;0;0;0,004006623;0,248344371;0;0,01397351;0;0;0,001986755;0;0;0;0,679470199;10,63410596;0;0;0,262483444;0,140165563;0;0;0;0;0,059602649;0
0;0;0,050251256;0,713065327;0;0,301507538;0;6,082914573;0,014824121;0,122613065;0,003768844;0;0;0;0,001482412;8,286683417;0,029648241;0;0,210929648;0,026005025;0,002512563;0;0;0;0,001507538;0
0;0;0,005514706;0,507352941;0,004411765;0,827205882;0;1,636029412;0,445588235;0,003897059;0;0;0;0;0,154044118;18,86029412;0,004411765;0,011029412;0,808455882;0,178308824;0,004411765;0;0;0,005514706;0;0
0;1,23381295;0,043165468;0,004316547;0;0,345323741;0;0,052877698;0,097122302;0,002158273;0,002158273;0;0;0;0,021582734;36,84532374;0;0,053956835;1,022985612;0,391366906;0,030791367;0;0,088129496;0;0;0
0;0,092105263;0,171052632;0,410526316;0;0,355263158;0;2,565789474;0,566842105;0;0,025263158;0;0;0;0;26,39473684;0;0;0,707894737;0,136842105;0,013157895;0;0;0;0,001578947;0
0,46460177;3,340707965;0,064159292;0,044247788;0,005530973;0,033185841;0;0,101946903;0,140707965;0,066371681;0,142035398;0;0;0;0;9,701327434;0;0,084070796;0,440265487;0,079646018;0;0;0;0,244469027;0;0,006637168
0,545602606;19,88355049;0,024429967;0,008990228;0,001791531;0;0;0;0,086938111;0;0,074983713;0;0;0;0;3,697068404;0;0,005700326;0,119869707;0,298859935;0;0,000977199;0;0,140065147;0,020521173;0,008957655
0,108695652;3,809178744;0,018115942;0;0,004033816;0,028985507;0;0;0,091545894;0;0,03236715;0;0;0;0;13,96014493;0;0,09057971;0,230676329;0,051207729;0;0;0;0,195048309;0;0
